Category	Msg	Pattern
web-application-attack	ET WEB_SERVER ImageMagick CVE-2016-3717 Local File Read Inbound (label: + mvg)	"/^\s*\x3a\s*\x40/Ri"
trojan-activity	ET MALWARE Xbagger Macro Encrypted DL	"/^\/[a-z0-9]+\.jpg\?(?=[a-z0-9]*[A-Z]+[a-z0-9])[A-Za-z0-9]+=\d{1,4}$/"
command-and-control	ET MALWARE Win32.Sality-GR Checkin 2	"/\.png\x3f[0-9a-f]{4,8}\x3d\d+?$/"
command-and-control	ET MALWARE Enfal CnC POST	"/^Host\x3a[^\r\n]+\r\nContent-Length\x3a\x20\d+\r\n(?:Cache-Control|Pragma)\x3a\x20no-cache\r\n(?:\r\n)?$/mi"
web-application-attack	ET WEB_SERVER ImageMagick CVE-2016-3714 Inbound (mvg)	"/https\x3a.+(?<!\x5c)(:[\x22\x27]|\\x2[27])\s*?[\x3b&\x7c><].*?(:[\x22\x27]|\\x2[27])/si"
web-application-attack	ET WEB_SERVER ImageMagick CVE-2016-3714 Inbound (svg)	"/xlink\s*?\x3a\s*?href\s*?=\s*?(:[\x22\x27]|\\x2[27])https.+?&quot\s*?\x3b(?:\x7c|&(?:[gl]t|amp)\s*?\x3b)/si"
trojan-activity	ET MALWARE Possible Malicious Macro DL EXE May 2016 (Mozilla compatible)	"/(?:\/(?:(?:p(?:lugins\/content\/vote\/\.ssl\/[a-z0-9]|a(?:nel\/includes\/[^\x2f]+|tric)|osts?\/[a-z0-9]+|rogcicicic)|s(?:ystem\/(?:logs|engine)\/[^\x2f]+?|e(?:rv(?:au|er)|ct)|gau\/.*?|alam|ucks|can|ke)|(?=[a-z]*[0-9])(?=[0-9]*[a-z])(?!setup\d+\.exe$)[a-z0-9]{5,10}|a(?:d(?:min\/images\/\w+|obe)|salam|live|us)|m(?:edia\/files\/\w+|a(?:cros?|rch)|soffice)|d(?:o(?:c(?:\/[a-z0-9]+)?|ne)|bust)|(?:~.+?\/\.[^\x2f]+|\.css)\/.+?|in(?:voice\/[^\x2f]+|fos?)|c(?:onfig|hris|alc)|u(?:swinz\w+|pdate)|xml\/load\/[^\x2f]+|(?:[Dd]ocumen|ve)t|Ozonecrytedserver|w(?:or[dk]|insys)|t(?:mp\/.+?|est)|fa(?:cture|soo)|n(?:otepad|ach)|k(?:be|ey|is)|ArfBtxz|office|yhaooo|[a-z]|etna|link|\d+)\.exe$|(?:(?=[a-z0-9]*?[3456789][a-z0-9]*?[3456789])(?=[a-z0-9]*?[h-z])[a-z0-9]{3,31}\+|PasswordRecovery|RemoveWAT|Dejdisc|Host\d+|Msword)\.exe)|(?:^\/(?:image\/.+?\/[^\x2f]+|x\/setup)|keem)\.exe$)/i"
targeted-activity	ET MALWARE APT28 SEDNIT Variant CnC Beacon 1	"/\.pdf\/\?[A-Za-z0-9]+=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
targeted-activity	ET MALWARE APT28 SEDNIT Variant CnC Beacon 2	"/\.zip\/\?[A-Za-z0-9]+=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
targeted-activity	ET MALWARE APT28 SEDNIT Variant CnC Beacon 3	"/\.htm\/\?[A-Za-z0-9]+=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
targeted-activity	ET MALWARE APT28 SEDNIT Variant CnC Beacon 4	"/\.xml\/\?[A-Za-z0-9]+=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
trojan-activity	ET MALWARE Xbagger Macro Encrypted DL Jun 13 2016	"/^\/[a-z0-9_-]+\.jpg\?[A-Za-z0-9]{2,10}=\d{1,4}$/"
targeted-activity	ET MALWARE Sednit Connectivity Check 0 Byte POST	"/\.[a-z]{3,4}\/\?[A-Za-z0-9]+=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
targeted-activity	ET MALWARE Sednit Connectivity Check 0 Byte POST	"/^(?:www\.)?google(?:\.[a-z]{2,3})+$/"
trojan-activity	ET MALWARE SFG Client Information POST	"/\.log$/"
trojan-activity	ET MALWARE Possible Maldoc Downloading EXE Jul 26 2016	"/\/(?:[a-z0-9]+_){4,}[a-z0-9]+(?:\/[a-f0-9]+)*?\/[a-f0-9]+\.(?![Ee][Xx][Ee])[a-z0-9]+$/"
command-and-control	ET MALWARE Linux/Lady CnC Beacon 1	"/^\/pm\.sh\?\d+$/"
social-engineering	ET HUNTING Suspicious HTTP Refresh to SMS Aug 16 2016	"/^[^>]+url=sms\x3a/Rsi"
command-and-control	ET MALWARE Curso Banker.BR Checkin	"/\.asp\?m=(?:INS|UAC)(?:&p=&a=)?&i=201\d{11}&/i"
command-and-control	ET MALWARE PNScan.2 CnC Beacon 2	"/\?ver=\d+$/"
command-and-control	ET MALWARE PNScan.2 CnC Beacon	"/^\/(?:i686|arm|mips(?:el)?)\?ver=\d+$/"
command-and-control	ET MALWARE UsefulTyphon CnC Activity M1	"/&u=[a-f0-9]{16}&p=/"
command-and-control	ET MALWARE UsefulTyphon CnC Activity M2	"/\/[a-f0-9]{16}\.down$/"
trojan-activity	ET MALWARE Win32.Pony Variant FOX Reporting Adfraud Activity	"/\.php\/data$/"
trojan-activity	ET MALWARE Win32/Zemot URI Struct	"/\/catalog\/\d{3,}$/"
trojan-activity	ET MALWARE Anuna PHP Backdoor Attempt	"/\.php\?cookie=1$/"
command-and-control	ET MALWARE Citadel Checkin	"/^\/[A-Za-z0-9]+?\/file\.php$/"
trojan-activity	ET MALWARE Possible Malicious Tor Module Download	"/\/tor\/[^\x2f\x2e]+(?:32|64)\.dll$/i"
trojan-activity	ET MOBILE_MALWARE Android.Trojan.HiddenApp.OU Checkin 2	"/\/NotifyLog$/"
command-and-control	ET MALWARE DistTrack/Shamoon CnC Beacon M1	"/\.php\?shinu=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
command-and-control	ET MALWARE Click Fraud Checkin	"/^\/link\.txt\?[0-9]{1,2}\x3a[0-9]{1,2}\x3a[0-9]{1,2}/"
command-and-control	ET MALWARE Win32/Braincrypt Ransomware CnC Checkin	"/\.php\?uuid=[a-z0-9]{32}$/i"
trojan-activity	ET MOBILE_MALWARE Android Fancy Bear Checkin	"/\/\?(?:text|from|a(?:gs|q)|oe|btnG|oprnd|utm|channel)=/"
command-and-control	ET MALWARE Win32/HydraCrypt CnC Beacon 3	"/^(?:Referer\x3a[^\r\n]+\r\n)?Host\x3a[^\r\n]+[\r\n]+$/"
exploit-kit	ET EXPLOIT_KIT RIG EK URI struct Oct 24 2016  (RIG-v)	"/^\/(?=.*?[&?][a-z]{2}_[a-z]{2}=\d+(?:&|$))(?=.*?[&?]q=(?:[A-Za-z0-9_-]{4})*(?:[A-Za-z0-9_-]{2}|[A-Za-z0-9_-]{3})+(?:&|$))(?=.*?[&?]oq=(?:[A-Za-z0-9_-]{4})*(?:[A-Za-z0-9_-]{2}|[A-Za-z0-9_-]{3})+(?:&|$)).*?[&?][a-z]{3}=[A-Za-z_]{3,20}(?=[a-z\d]*\x2e)(?=[a-z\x2e]*\d)[a-z\d\x2e]+(?:&|$)/"
trojan-activity	ET MALWARE Maldoc Second Stage VBS Downloader with URL Padding	"/\.exe\?+$/i"
social-engineering	ET EXPLOIT_KIT EITest SocEng Inject Jan 15 2017 EXE Download	"/^Content-Disposition\x3a[^\r\n]+filename\s*=\s*[\x22\x27]?Font_Update\.exe/mi"
trojan-activity	ET HUNTING SUSPICIOUS Possible Evil Download wsf Double Ext No Referer	"/\/[^\x2f]+\.[^\x2f]+\.wsf$/i"
trojan-activity	ET MALWARE Malicious JS.Nemucod to PS Dropping PE Nov 14 M2	"/^\/\w+\.php\?f=[a-z]?\d{1,3}(?:\.(?:dat|gif))?$/"
command-and-control	ET MOBILE_MALWARE Trojan-Spy.AndroidOS.Femas.b CnC Beacon	"/^d(?:id|ei)=[A-F0-9]{10,100}&method=IS[A-Z]{1,10}$/"
targeted-activity	ET MALWARE APT28 Uploader Variant Fake Request to Google	"/\/\?[a-zA-Z0-9]{1,3}=(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4})$/"
trojan-activity	ET MOBILE_MALWARE iOS DualToy Checkin	"/&data=(?:([A-Za-z0-9]|%2[FB]){4})*(?:([A-Za-z0-9]|%2[FB]){2}==|([A-Za-z0-9]|%2[FB]){3}=|([A-Za-z0-9]|%2[FB]){4})$/"
command-and-control	ET MALWARE W32/KeyLogger.ACQH!tr Checkin	"/\.php\?cn(ame)?=/"
command-and-control	ET MALWARE Mutter Backdoor Checkin	"/^(Host\x3a [^\r\n]+?\r\nConnection\x3a Keep-Alive|Connection\x3a Keep-Alive\r\nHost\x3a [^\r\n]+?)\r\n(\r\n)?$/i"
exploit-kit	ET EXPLOIT_KIT Terror EK Payload RC4 Key M1 Mar 14 2017	"/^\s*[\x22\x27]\s*http[^\x22\x27]+\.php\s*[\x22\x27]\s*\x2c\s*[\x22\x27]\s*uylzJB3mWrFjellI9iDFGQjO/Rs"
trojan-activity	ET MALWARE MagikPOS Downloader Retrieving Payload	"/\.php\?file=(?:64|86)$/"
command-and-control	ET MALWARE MagikPOS CnC Beacon	"/\/api\/\?act=in$/"
trojan-activity	ET MALWARE Spy/Infostealer.Win32.Embed.A Client Traffic	"/meta=(?:(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=|[A-Za-z0-9+/]{4}))?(?:&?id=[a-z]+)?$/"
command-and-control	ET MOBILE_MALWARE Android Trojan Pegasus CnC Beacon M2	"/^Host\x3a[^\n\r]\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}[\r\n]+$/m"
exploit-kit	ET EXPLOIT_KIT Terror EK Payload Download	"/[&?]e=cve\d{8}(?:&|$)/"
exploit-kit	ET EXPLOIT_KIT Terror EK Payload Download	"/=[a-f0-9]{32,}(?:&|$)/"
trojan-activity	ET MOBILE_MALWARE AdWare.AndroidOS.Ewind.cd Checkin	"/\.php\?id=[a-f0-9]{8}(?:-[a-f0-9]{4}){4}[a-f0-9]{8}&type=/"
targeted-activity	ET MALWARE Sofacy Request Outbound	"/^\/[a-z]+?\/\?(?:[a-z]+?=[A-Za-z0-9\x5f\x2d]+&){1,}ai=[^&]{5}(?:[A-Za-z0-9\x5f\x2d]{4})*(?:[A-Za-z0-9\x5f\x2d]{2}==|[A-Za-z0-9\x5f\x2d]{3}=|[A-Za-z0-9\x5f\x2d]{4})(?:&|$)/"
command-and-control	ET MALWARE Betabot Checkin 5	"/(?:^|=)[A-F0-9]{70,}(?:$|&)/"
command-and-control	ET MALWARE Unknown Possibly Ransomware (Dropped by RIG) CnC Beacon	"/^[A-Za-z0-9+/]{64}\x0a/"
trojan-activity	ET MALWARE Neverquest/Vawtrak Posting Data	"/\/viewforum\.php\?f=\d+&sid=[A-F0-9]{32}$/"
web-application-attack	ET WEB_SPECIFIC_APPS Joomla 3.7.0 - Sql Injection (CVE-2017-8917)	"/&list\[fullordering\]=(?:[a-zA-Z0-9])*[\x22\x27\x28]/i"
exploit-kit	ET EXPLOIT_KIT Terror EK Payload URI T1 Jun 02 2017	"/\&e=(?:cve|flash)/i"
command-and-control	ET MALWARE W32/Madness Checkin	"/\?uid=\d{8}&ver=\d\.\d{2}&mk=[0-9a-zA-Z]{6}&os=[A-Za-z0-9]+&rs=[a-z]+&c=\d+&rq=\d/"
command-and-control	ET MOBILE_MALWARE Trojan-Banker.AndroidOS.Marcher.a CnC Beacon	"/\?id=(?:[a-f0-9]{32}|[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12})$/"
trojan-activity	ET MALWARE Likely Malicious Windows SCT Download MSXMLHTTP M3	"/^Content-Disposition\x3a[^\r\n]*\.sct[\x22\x27\s\r\n]/mi"
trojan-activity	ET MALWARE JS/HTA Downloader Behavior M3	"/\.php\?cmd=p&id=\w+.*?&rnd=[\x2e\d]+$/i"
trojan-activity	ET MALWARE HTTP Andromeda File Request	"/myguy\.(?:xls(?:\.hta)?|exe)$/"
trojan-activity	ET MALWARE Possible Malicious Invoice EXE	"/\/invoice[^a-z\/]*?\.(?:exe|zip|7z|rar|com|vbs|ps1)$/i"
web-application-attack	ET WEB_SPECIFIC_APPS Apache Tomcat Possible CVE-2017-12617 JSP Upload Bypass Attempt	"/\.jsp\/[^\x2f]*$/i"
web-application-attack	ET WEB_SPECIFIC_APPS Apache Tomcat Possible CVE-2017-12617 JSP Upload Bypass Attempt	"/\.jspx\/[^\x2f]*$/i"
web-application-attack	ET WEB_SPECIFIC_APPS Apache Tomcat Possible CVE-2017-12617 JSP Upload Bypass Attempt	"/\.shtml\/[^\x2f]*$/i"
command-and-control	ET MALWARE Win32.Kazy Checkin	"/\/[\x2f\x2bA-Za-z0-9]{59}AAA==$/"
targeted-activity	ET MALWARE Miniduke Checkin	"/^\/[^\x2f]+?\/create\.php\?[a-z0-9]+\x3d[a-z0-9\x5f\x2d]+?$/i"
command-and-control	ET MALWARE Win32.Spy/TVRat Checkin	"/\.php\?id=\d+&stat=[a-z0-9]{32}(?:&cidl=\d+|&sidl=[\d%:\x20-]+)?$/"
attempted-admin	ET WEB_SPECIFIC_APPS Apache Struts memberAccess inbound OGNL injection remote code execution attempt	"/new\s+(java|org|sun)/i"
pup-activity	ET ADWARE_PUP Search Engine 2000 Spyware User-Agent (searchengine)	"/User-Agent\:[^\n]+searchengine/i"
pup-activity	ET ADWARE_PUP Surfplayer Spyware User-Agent (SurferPlugin)	"/User-Agent\:[^\n]+SurferPlugin/i"
pup-activity	ET ADWARE_PUP Better Internet Spyware User-Agent (thnall)	"/User-Agent\:[^\n]+THNALL[^\n]+\.EXE/i"
pup-activity	ET ADWARE_PUP XupiterToolbar Spyware User-Agent (XupiterToolbar)	"/User-Agent\:[^\n]+XupiterToolbar/i"
pup-activity	ET ADWARE_PUP Spyaxe Spyware User-Agent (spywareaxe)	"/User-Agent\:[^\n]+spywareaxe/"
pup-activity	ET ADWARE_PUP Mysearch.com Spyware User-Agent (iMeshBar)	"/User-Agent\:[^\n]+iMeshBar/i"
pup-activity	ET ADWARE_PUP Oemji Spyware User-Agent (Oemji)	"/User-Agent\:[^\n]+Oemji/i"
pup-activity	ET ADWARE_PUP Adware.PUQD Checkin	"/^\/debug\/Version\/\d_\d_\d_\d\d{1,2}?\/trace\/(?:mostrarFailed(?:EndLoading|ReadyState)|Get(?:XmlDataRequisites|BinaryData)|(?:DownloadRequisites|down_)Finish|Re(?:cievedXml|adyState)|PreDownloadRequisites|EndLoading|UserAdmin|Start)$/"
pup-activity	ET ADWARE_PUP W32/RocketfuelNextUp.Adware CnC Beacon	"/^\x2Fevt\x2F\x3Fnexcb\x3D[a-f0-9\x2D]{10,}$/"
pup-activity	ET ADWARE_PUP PUP Optimizer Pro Adware GET or POST to C2	"/^\/(?:get|install)\/\?q=/"
pup-activity	ET ADWARE_PUP W32/Stan Malvertising.Dropper CnC Beacon	"/^\/[a-f0-9]{50,}$/"
pup-activity	ET ADWARE_PUP W32/Kyle Malvertising.Dropper CnC Beacon	"/^\/[\w-]{50,}$/"
pup-activity	ET ADWARE_PUP Adware.InstallCore.B Checkin	"/^\/\?pcrc=[0-9]{7,10}$/"
pup-activity	ET ADWARE_PUP Loadmoney User Agent	"/^Downloader \d\.\d$/"
pup-activity	ET ADWARE_PUP Java.Deathbot Requesting Proxies	"/\/Socks[45]\.txt$/"
trojan-activity	ET MALWARE Possible TA410 APT FlowCloud Dependency Download	"/\/[A-Z0-9]{4,8}\/[A-Z0-9]{8}\.DAT$/"
trojan-activity	ET MALWARE Dridex DL Pattern Feb 18 2016	"/\.exe\?\.\d+$/"
trojan-activity	ET MALWARE Potential Dridex.Maldoc Minimal Executable Request	"/^Host\x3a[^\r\n]+\r\n(?:(?:Cache-Control|Pragma)\x3a[^\r\n]+\r\n)?(?:\r\n)?$/mi"
web-application-attack	ET EXPLOIT Lexmark Printer RDYMSG Cross Site Scripting Attempt	"/pjl\x5Fready\x5Fmessage\x3D.+(script|alert|onmouse[a-z]+|onkey[a-z]+|onload|onunload|ondragdrop|onblur|onfocus|onclick|ondblclick|onsubmit|onreset|onselect|onchange)/i"
web-application-attack	ET WEB_SERVER Possible IIS Integer Overflow DoS (CVE-2015-1635)	"/^Range\x3a[^\r\n]*?18446744073709551615/mi"
web-application-attack	ET WEB_SERVER Cisco IOS HTTP Server Exec Command Execution Attempt	"/\x2Flevel\x2F15\x2Fexec\x2F\x2D\x2F[a-z]/i"
command-and-control	ET MALWARE Felismus CnC Beacon 2	"/\.php\?[a-z]{15,}$/"
command-and-control	ET MALWARE Cobalt Strike Malleable C2 (MSDN Query Profile)	"/^\/Search\/en-US\?query=[a-z]{200,400}&pgArea=header$/"
social-engineering	ET PHISHING Possible Instagram Phishing Domain	"/\.(?:tk|gq|ga|xyz|ml|cf)$/"
command-and-control	ET MALWARE DMSpammer HTTP Post Checkin	"/\/stat\d+\.php/"
command-and-control	ET MALWARE FAKE/ROGUE AV/Security Application Checkin	"/\?url=[0-9]&affid=[0-9]{5}/i"
trojan-activity	ET MALWARE Obitel Downloader Request	"/\.php\?id=[0-9a-f]{8}$/"
credential-theft	ET PHISHING Successful Chase Phish 2020-10-14	"/^userid=[^&]*&passid=[^&]*&Token=$/"
command-and-control	ET MALWARE Backdoor.Win32/Likseput.A Checkin Windows Vista/7/8	"/^6\.[0-2]\x20\d\d\x3a\d\d\x20/i"
targeted-activity	ET MALWARE Win32.Sluegot.A Checkin WEBC2-YAHOO APT1 Related	"/^IPHONE\d+\x2e\d+\x28(host\x3a|[^\r\n\x2c]+\x2c(\d{1,3}\.){3}\d{1,3})/i"
command-and-control	ET MALWARE Bifrose/Cycbot Checkin	"/(?:1|2)\.(?:p(?:hp|ng)|jpe?g|cgi|gif)\?sv=\d{2,3}&tq=/i"
trojan-activity	ET MALWARE Win32.Blackbeard Downloader	"/[\?&]p=\d&t=\d(&|$)/"
trojan-activity	ET MALWARE EtumBot Ping	"/^\x2fhistory\x2f[A-Za-z0-9+_-]+\x2easp$/i"
trojan-activity	ET MALWARE EtumBot PUT File Response	"/^\x2fdocs\x2fname\x3d\x2f[A-Za-z0-9+_-]+$/i"
trojan-activity	ET MALWARE EtumBot Command Status Message	"/^\x2ftech\x2fs\x2easp\x3fm\x3d[A-Za-z0-9+_-]+$/i"
trojan-activity	ET MALWARE EtumBot GET File Initial Response	"/^\x2fmanage\x2fasp\x2fitem\x2easp\x3fid\x3d[A-Za-z0-9+_-]+\x26\x26mux\x3d[A-Za-z0-9+_-]+$/i"
trojan-activity	ET MALWARE EtumBot GET File Data Upload	"/^\x2farticle\x2f30441\x2fReview\x2easp\x3fid\x3d[A-Za-z0-9+_-]+\x26\x26data\x3d[A-Za-z0-9+_-]+$/i"
command-and-control	ET MALWARE Win32/Swrort.A Checkin 2	"/^\/[A-Za-z0-9-_]{30,}\/$/"
trojan-activity	ET MALWARE Suspicious User-Agent build - possibly Delf/Troxen/Zema	"/^build\d/"
trojan-activity	ET USER_AGENTS Matcash or related downloader User-Agent Detected	"/^x\w\wx\w\w\!x\w\wx\w\wx\w\w/"
trojan-activity	ET USER_AGENTS Suspicious User-Agent Detected (Downloader1.2)	"/^Downloader\d+\.\d/"
pup-activity	ET ADWARE_PUP CoolWebSearch Spyware (Feat)	"/^Feat[^\r\n]+(?:Install|Updat)er/i"
pup-activity	ET ADWARE_PUP Hotbar Spyware User-Agent (host)	"/User-Agent\:[^\n]+host(ie|oe|oi|ol)/i"
pup-activity	ET ADWARE_PUP ZenoSearch Spyware User-Agent	"/User-Agent\: \[.*\][A-F0-9]{2}-[A-F0-9]{2}-[A-F0-9]{2}/i"
policy-violation	ET POLICY Winpcap Installation in Progress	"/\d/\d+.jpg/i"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Sending Hostname	"/^[a-zA-Z0-9]{5}6164(?:3[0-9]){4}31303[0-9](?:[a-f0-9][a-f0-9]){5,}\./"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Sending Number of Queries	"/^[a-zA-Z0-9]{5}6364(?:3[0-9]){4}\d{1,3}\./"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Initial Hello Beacon	"/^[a-zA-Z0-9]{5}6464(?:3[0-9]){4}\./"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Finished Sending Results	"/^[a-zA-Z0-9]{5}6664(?:3[0-9]){4}\./"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Getting CnC Data	"/^[a-zA-Z0-9]{5}6864(?:3[0-9]){4}31303[0-9]\./"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Sending Command Results	"/^[a-zA-Z0-9]{5}7264(?:3[0-9]){4}31303[0-9](?:[a-f0-9][a-f0-9]){10,}\./"
command-and-control	ET MALWARE CASHY200 Style DNS Query - Request Command Beacon	"/^[a-zA-Z0-9]{5}7164(?:3[0-9]){4}\./"
command-and-control	ET MALWARE APT Mustang Panda Payload - CnC Checkin	"/^[a-f0-9]{8}$/Ri"
attempted-admin	ET EXPLOIT Qualcomm QCMAP NULL Pointer Dereference Attempt Inbound (CVE-2020-25858)	"/^[^=]{1,}$/RUi"
pup-activity	ET ADWARE_PUP Toplist.cz Related Spyware Checkin	"/^BWL(?:\sToplist|\d_UPDATE)/"
command-and-control	ET MALWARE W32/Farfli.BHQ!tr Dropper CnC Beacon	"/^\d{1,3}\x2E\d{1,3}\x2E\d{1,3}\x2E\d{1,3}/"
command-and-control	ET MALWARE Win32/DarkRAT CnC Activity	"/^[A-Za-z0-9\/\+\=]{100,}$/Rsi"
targeted-activity	ET MALWARE Possible APT30 or Win32/Nuclear HTTP Framework	"/\.(?:txt|gif|exe|bmp)$/i"
exploit-kit	ET EXPLOIT_KIT Possible PurpleFox EK Framework URI Struct Landing Request	"/^\/(?!(?:[a-z]{16}|[0-9]{16}))[a-zA-Z0-9]{16}\/[a-z.-]+\/[a-f0-9]{40}\/[a-z.-]+\/[a-z0-9]+\.htm$/"
exploit-kit	ET EXPLOIT_KIT Possible PurpleFox EK Framework URI Struct Flash Request	"/^\/(?!(?:[a-z]{16}|[0-9]{16}))[a-zA-Z0-9]{16}\/[a-z.-]+\/[a-f0-9]{40}\/[a-z.-]+\/[a-z0-9]+\.swf$/"
exploit-kit	ET EXPLOIT_KIT Possible PurpleFox EK Framework Payload	"/^(?:0x[a-f0-9]{1,2}, ){500}/R"
exploit-kit	ET EXPLOIT_KIT Possible PurpleFox EK Framework Payload	"/^[0-9_,{AbZwP&-]{2000}/R"
command-and-control	ET MALWARE SolarSys CnC Activity M1	"/^[A-F0-9]{128}$/R"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^DEMONS(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Hakai(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Messiah(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Liquor(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Nija(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Gemini(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Sector(?:(?:\/|\s)[0-9]\.0)?$/i"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^Kayla(?:(?:\/|\s)[0-9]\.0)?$/"
attempted-admin	ET SCAN Mirai Variant User-Agent (Inbound)	"/^OSIRIS(?:(?:\/|\s)[0-9]\.0)?$/i"
web-application-attack	ET MALWARE Mirai Variant User-Agent (Outbound)	"/^Kayla(?:(?:\/|\s)[0-9]\.0)?$/i"
command-and-control	ET MALWARE TickGroup BROLER.F CnC Check-in	"/^[a-zA-Z/+=]$/"
command-and-control	ET MALWARE TickGroup ABK Backdoor CnC Check-in	"/\?uid=[A-F0-9]{15,}&pid=\d+$/i"
credential-theft	ET PHISHING Successful Dynamic Folder Phish Oct 07 2016	"/^POST[^\r\n]+(?P<hash>[a-f0-9]{32})\/(?:[^\r\n]+\r\n)+Referer\x3a\x20http(s)?:\/\/[^\r\n]+(?P=hash)/mi"
bad-unknown	ET EXPLOIT_KIT Suspicious VBS Encoding Observed in BottleEK	"/^-?\d+[/+]/R"
bad-unknown	ET EXPLOIT_KIT Suspicious VBS Encoding Observed in BottleEK	"/^[A-F0-9]+/R"
command-and-control	ET MALWARE Win32/TinyNuke CnC Checkin	"/\.php\?[A-F0-9]{15,25}$/i"
attempted-user	ET EXPLOIT Ruckus vRIoT Command Injection Attempt Inbound (CVE-2020-26878)	"/^\x22[^\x22]*\x3b[^\x22]*\x22/PR"
attempted-admin	ET HUNTING Suspicious Chmod Usage in URI (Inbound)	"/^(?:\+|\x2520|\x24IFS|\x252B|\s)+(?:x|[0-9]{3,4})/Ri"
targeted-activity	ET MALWARE [401TRG] PS/PowDesk Checkin (APT34)	"/^(?:Sucessful|Failed|Missing\x20CBA8|Missing\x20LANDesk\x20Agent)$/R"
command-and-control	ET MALWARE Win32/Emotet CnC Activity (POST) M7	"/^POST\shttp\x3a\x2f\x2f[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}(?:\x3a[0-9]{2,5})(?P<urivar>\/(?:[A-Z0-9a-z]{2,25}){1,5})\sHTTP\/1\.0\r\nReferer\x3a\x20http\x3a\x2f\x2f[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}(?:\x3a[0-9]{2,5})?(?P=urivar)\r\n/"
policy-violation	ET POLICY DNS Query to a Reverse Proxy Service Observed	"/^(?:com|io|host)/Ri"
targeted-activity	ET MALWARE StrongPity Host Checkin	"/^name=v[0-9]{1,2}_kt[0-9]{1,2}p[0-9]{1}_[0-9]{8,10}$/i"
exploit-kit	ET EXPLOIT_KIT TDS Sutra - cookie set	"/^[a-z]{5}[0-9]{1,2}=_[0-9]{1,2}_/"
command-and-control	ET MALWARE ProxyBox - HTTP CnC - POST 1-letter.php	"/^\/[a-z]\.php/"
trojan-activity	ET MALWARE MUROFET/Licat Trojan	"/^\d{1,6}$/R"
trojan-activity	ET MALWARE Possible Avatar RootKit Yahoo Group Search	"/^[A-Z0-9]{8}/R"
exploit-kit	ET EXPLOIT_KIT Possible Styx EK SilverLight Payload	"/^[a-z0-9]{13}\.[a-z]{3}$/R"
command-and-control	ET MOBILE_MALWARE Android/HeHe.Spy getLastVersion CnC Beacon	"/Host\x3a\x20\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}(\x3a|\r)/m"
command-and-control	ET MALWARE Dirt Jumper/Russkill3 Checkin	"/^\d{15}/R"
web-application-attack	ET WEB_SPECIFIC_APPS Possible OSSIM uniqueid Parameter Remote Command Execution Attempt	"/\/sem\/\w+\.php.*(\?|&)uniqueid=\d*\;/i"
